,CPI_YoY,Zscore,Inflation_Regime
1980-08-31,12.872628726287273,1.4383371371073133,1
1980-09-30,12.600536193029498,1.3019313001788013,1
1980-10-31,12.765957446808509,1.3093690061345624,1
1980-11-30,12.648221343873512,1.228171306702433,1
1980-12-31,12.51629726205996,1.1461917284030287,1
1981-01-31,11.82519280205656,0.8955028569527443,0
1981-02-28,11.406844106463886,0.7361686373692344,0
1981-03-31,10.486891385767796,0.4213012660136199,0
1981-04-30,9.999999999999986,0.24543067877616892,0
1981-05-31,9.7799511002445,0.15595291993358382,0
1981-06-30,9.552599758162028,0.06266516147746924,0
1981-07-31,10.761789600967342,0.4386113039360326,0
1981-08-31,10.80432172869148,0.42959889821527963,0
1981-09-30,10.952380952380958,0.4556191184644827,0
1981-10-31,10.14150943396228,0.1522740154195784,0
1981-11-30,9.590643274853791,-0.07006509816108465,0
1981-12-31,8.92236384704519,-0.34365864492501796,0
1982-01-31,8.390804597701141,-0.5725167074369832,0
1982-02-28,7.622298065984068,-0.8852464884836696,0
1982-03-31,6.779661016949157,-1.2134261195427263,0
1982-04-30,6.509539842873191,-1.3096709526244685,0
1982-05-31,6.681514476614692,-1.243156875297162,0
1982-06-30,7.064017660044164,-1.0997358954027308,0
1982-07-31,6.4410480349345045,-1.3316081071275978,0
1982-08-31,5.850487540628402,-1.5414055144211827,0
1982-09-30,5.04291845493563,-1.809987409597935,0
1982-10-31,5.139186295503206,-1.7451489128965256,0
1982-11-30,4.589114194236932,-1.896180997044235,0
1982-12-31,3.829787234042548,-2.0937350999609983,0
1983-01-31,3.711558854718988,-2.0574237940252376,0
1983-02-28,3.488372093023262,-2.0607308273417013,0
1983-03-31,3.5978835978836,-1.958771806302093,0
1983-04-30,3.898840885142252,-1.810356243744982,0
1983-05-31,3.549060542797511,-1.857226196584506,0
1983-06-30,2.577319587628857,-2.061763902933848,0
1983-07-31,2.4615384615384706,-2.002221763235224,0
1983-08-31,2.558853633572156,-1.8906745305826775,0
1983-09-30,2.860061287027582,-1.7347285051378696,0
1983-10-31,2.851323828920571,-1.6679441047469687,0
1983-11-30,3.2653061224489743,-1.502106889959865,0
1983-12-31,3.7909836065573854,-1.3210829523848397,0
1984-01-31,4.192229038854811,-1.1811898046519322,0
1984-02-29,4.596527068437184,-1.0462831255980962,0
1984-03-31,4.80081716036771,-0.9654515663803398,0
1984-04-30,4.563894523326573,-0.9934481823838763,0
1984-05-31,4.233870967741948,-1.0413774520654662,0
1984-06-30,4.221105527638192,-1.011223687430565,0
1984-07-31,4.204204204204198,-0.9826054586020603,0
1984-08-31,4.291417165668654,-0.9297677441176803,0
1984-09-30,4.270109235352537,-0.9041830081668907,0
1984-10-31,4.257425742574261,-0.8772628021749969,0
1984-11-30,4.051383399209474,-0.8974767941267128,0
1984-12-31,3.948667324777877,-0.8932475695336827,0
1985-01-31,3.5328753680078373,-0.967728762795867,0
1985-02-28,3.515625,-0.9446352386298275,0
1985-03-31,3.70370370370372,-0.8722254807506181,0
1985-04-30,3.6857419980601542,-0.8546263939801003,0
1985-05-31,3.771760154738879,-0.8089055833175629,0
1985-06-30,3.760848601735778,-0.7913927606344547,0
1985-07-31,3.5542747358309423,-0.8285714441697946,0
1985-08-31,3.349282296650724,-0.8673833777589747,0
1985-09-30,3.142857142857136,-0.9087776767227523,0
1985-10-31,3.228869895536568,-0.8608573015903097,0
1985-11-30,3.5137701804368597,-0.7459162742706273,0
1985-12-31,3.798670465337128,-0.625843000823613,0
1986-01-31,3.8862559241706007,-0.5707979301198898,0
1986-02-28,3.113207547169816,-0.8471182849907759,0
1986-03-31,2.2556390977443552,-1.1643358316318126,0
